Название;Автор;Рейтинг;Старая цена;Новая цена;Издательство;Год издания;ISBN;Обложка;Описание
Лэд;Отсутствует;5;Отсутствует;1 149 ₽;Пальмира;2020;978-5-517-02106-9;https://cdn.img-gorod.ru/310x500/nomenclature/27/938/2793807.jpg;Повесть «Лэд» (1919) — это история о «псе благородных кровей и благородной души». Она была впервые издана за двадцать лет до выхода в свет знаменитого романа «Лэсси» Эрика Найта. История Лэда вызвала невероятный отклик, оказав влияние даже на формирование стандартов породы ксшли, и выдержала более восьмидесяти переизданий.
Там, где папоротник красный;Уилсон Роулз;4.61;1 049 ₽;1 004 ₽;Карьера Пресс;2020;978-5-00074-266-2;https://cdn.img-gorod.ru/310x500/nomenclature/27/952/2795245.jpg;«То, что я увидел в теплых серых глазах доверчиво прижавшегося ко мне пса, вызвало из глубин моей памяти самые дорогие из хранившихся там образов... Сперва мне показалось, что это грусть или одиночество, но вскоре я понял, что ошибаюсь. Это чувство было прекрасным... Старый пес разбередил мои воспоминания со скрытыми в их глубинах бесценными сокровищами ».История Билли Колмана была опубликована в начале шестидесятых, дважды экранизирована, включена в списки внеклассного чтения для подростков, Билли Колману и его верным кунхаундам Малышке Энн и Старине Дэну — героям книги — установлены два памятника. Общий тираж книги достиг 14 миллионов экземпляров.Мечта, упорство, достижение, счастье, потеря, обесценивание смыслов, стойкость, жизнь... Это книга «об удивительной любви, беззаветной преданности», о первых юношеских мечтах, которые освещают жизнь.
Корги по имени Генри;Джорджи Кроули;4.21;549 ₽;364 ₽;Рипол-Классик;2020;978-5-386-13690-1;https://cdn.img-gorod.ru/310x500/nomenclature/27/972/2797278.jpg;Захватывающая история современной британской писательницы и любительницы собак Джорджи Кроули о псе породы Корги по имени Генри. Он живет в обычной семье в пригороде Лондона, но волею случая попадает в Букингемский дворец и становится одним из питомцев королевы.
Искусство бега под дождем;Гертруда Стайн;4;249 ₽;184 ₽;Азбука;2020;978-5-389-16984-5;https://cdn.img-gorod.ru/310x500/nomenclature/28/030/2803023.jpg;Однажды Энцо, умный и добрый пес, услышал в телепрограмме, что после смерти собака может переродиться в человека. С тех пор жизнь его обрела цель. «Вот почему я стану хорошим человеком, — думает пес, — Потому что умею слушать. Я никогда никого не прерываю, не увожу разговор в сторону. Если вы обратите внимание на людей, то заметите, что они постоянно меняют линию беседы… Люди, я умоляю вас: учитесь слушать! Представьте себя собакой вроде меня, слушайте других людей и давайте им возможность выговориться». Вот такие мудрые и простые мысли. И когда для Дэнни, его хозяина, автогонщика и классного автомеханика, наступают трудные дни, пес решает: он должен помочь хозяину — пусть даже для этого ему придется совершить то, что собаке, казалось бы, не под силу…
Не только на Рождество;Натали Кокс;4.27;679 ₽;558 ₽;АСТ;2020;978-5-17-117629-7;https://cdn.img-gorod.ru/310x500/nomenclature/28/142/2814232.jpg;Чарли ненавидит праздники, и этот год обещает стать худшим в ее жизни. Бойфренд ушел к другой, а у соседей из-за утечки газа произошел взрыв, превративший квартиру Чарли в руины.Оставшись в одиночестве, с легким сотрясением мозга и временно бездомной, Чарли принимает приглашение двоюродной сестры Джез, которая живет в Девоне и держит собачью гостиницу.Однако вряд ли Чарли удастся провести тихие выходные — Джез внезапно уезжает, и гостье придется присматривать за гостиницей, обращаться за помощью к местному ветеринару, синеглазому и надменному Кэлу, принимать новых постояльцев — например, глухого дога, владелец которого красив как древнегреческий бог, но, увы, помолвлен, или невероятно породистого сеттера, которого привезла хозяйка — вылитая Круэлла Де Виль.Чарли кажется, что все вокруг идет кувырком, но, возможно, у нее появился шанс узнать что-то новое о жизни, о себе самой и… о любви.
Доктор Пес. Как наши лучшие друзья становятся нашими врачами;Мария Гудаваж;4.8;749 ₽;618 ₽;АСТ;2020;978-5-17-116997-8;https://cdn.img-gorod.ru/310x500/nomenclature/28/145/2814571.jpg;Новая книга от автора бестселлеров New York Times «Солдат Пес», «Десантник Пес» и «Суперагент Пес» Марии Гудаваж о собаках-врачах.Собака лучше любого электронного прибора способна определить, например, заболевание раком – она делает это по запаху. Точно также собаки могут заранее предупреждать больного о приближении судорог или спазмов, о приступах внезапного сна и обмороках. Они сопровождают больных детей и взрослых, становясь для них не только друзьями, но и надежной опорой.Автор рассказывает о том, как обучают и дрессируют таких собак и какие связи устанавливаются между ними и людьми, которые зачастую доверяют им свою жизнь.Мария Гудаваж – бывший корреспондент USA Today, выпускница Северо-Западного университета, живет в Сан-Франциско со своей семьей и лабрадором по кличке Гас, названным в честь знаменитого пса-спасателя.«Если взять чудесную тему и передать ее в руки замечательного писателя, получится… ОСТОРОЖНО! СПОЙЛЕР! …по-настоящему фантастическая книга. Каждая страница дарит читателю новые знания и захватывающие истории».Дэвид Розенфельт, автор книги «Путешествие с собакой»«Увлекательная, новаторская, научно обоснованная книга о том, как собаки с помощью нюха диагностируют человеческие болезни и помогают людям с физическими и психическими проблемами. Вы будете смеяться, будете плакать и захотите обнять каждую собаку, про которую прочтете. Вполне может оказаться так, что когда-нибудь доктор Пес спасет и вашу жизнь».Доктор Марти Беккер, «Американский Ветеринар», основатель FearFreeHappyHomes.com
О всех созданиях - больших и малых;Джеймс Хэрриот;4.55;749 ₽;592 ₽;Азбука;2022;978-5-389-17845-8;https://cdn.img-gorod.ru/310x500/nomenclature/28/215/2821574.jpg;С багажом свежих знаний и дипломом ветеринара молодой Джеймс Хэрриот пребывает в Дарроуби, небольшой городок, затерянный среди холмов Йоркшира. Нет, в учебниках ни слова не говорилось о реалиях английской глубинки, обычаях местных фермеров и подлинной работе ветеринарного врача, о которой так мечтал Хэрриот. Но в какие бы нелепые ситуации он ни попадал, с какими бы трудностями ни сталкивался, его всегда выручали истинно английское чувство юмора и бесконечная любовь к животным. К своим приключениям в качестве начинающего ветеринара Альфред Уайт (подлинное имя Джеймса Хэрриота) вернулся спустя несколько десятилетий (он начал писать в возрасте 50 лет). Сборник его забавных и трогательных рассказов «О всех созданиях – больших и малых», составленный из первых двух книг, вышел в 1972 году и имел огромный успех. За этой книгой последовали и другие. Сегодня имя Хэрриота известно во всем мире, его произведения пользуются популярностью у читателей разных поколений и переведены на десятки языков. На русском языке книга впервые была опубликована в 1985 году в сокращенном виде,  с пропуском отдельных фрагментов и глав. В настоящем издании представлен полный перевод с восстановленными купюрами.
Макс. Лучший друг, герой, морпех;Дженнифер Ли Шотц;5;579 ₽;474 ₽;АСТ;2020;978-5-17-134133-6;https://cdn.img-gorod.ru/310x500/nomenclature/28/281/2828194.jpg;Когда старший брат Джастина погибает в Афганистане, его боевой пёс Макс, чья психика пострадала после смерти хозяина, попадает к Джастину. Макс натренирован для участия в сражениях, и судьба его висит на волоске: можно ли доверить школьнику опасного непредсказуемого пса? Забота о Максе станет настоящим испытанием для Джастина, а приключения, которые им придётся пережить вместе, полностью изменят его жизнь.Пронзительная история о настоящем героизме, преданности и дружбе.
Королевский корги;Джорджи Кроули;4.8;Отсутствует;829 ₽;Рипол-Классик;2020;978-5-386-13777-9;https://cdn.img-gorod.ru/310x500/nomenclature/28/282/2828202.jpg;Смешной и непоседливый пёс по имени Генри — любимец всей семьи — однажды потерялся в Лондоне. Но ему не пришлось в одиночестве скитаться по улицам. По ошибке его приняли за новую собаку королевы, и у Генри началась новая жизнь во дворце, о которой можно было только мечтать. Но Генри не из тех собак, которые готовы забыть хозяев ради миски вкусной еды и мягких подушек. Он обязательно найдёт дорогу домой!История об очаровательном и сообразительном корги уже признана мировым бестселлером и несомненно станет любимой книгой для семейного чтения.Ранее книга выходила под названием «Корги по имени Генри», настоящее издание адаптировано для юных читателей.
Между жизнью и смертью. История храброго полицейского пса Финна;Дэйв Уорделл;4.1;749 ₽;618 ₽;АСТ;2020;978-5-17-121691-7;https://cdn.img-gorod.ru/310x500/nomenclature/28/300/2830094.jpg;"Вы держите в руках книгу, входящую в десятку самых продаваемых произведений в Великобритании. Она посвящена удивительной жизни Финна — пса, ставшего звездой телешоу ""Британия ищет таланты"", обладателя титула ""Самая храбрая собака Великобритании"" и ежегодной награды газеты Daily Mirror ""Животное — герой года"".Хартфордшир, 5 октября 2016 года, примерно два часа ночи. Офицер полиции Дэйв Уорделл и его служебный пес по кличке Финн пытались задержать подозреваемого в ограблении, когда преступник обернулся и атаковал своих преследователей. Финн был ранен ножом с 25-сантиметровым лезвием сначала в подмышку, а затем — когда попытался прикрыть хозяина — в голову. Пес, без сомнения, спас своего напарника, но теперь шла борьба уже за жизнь самого Финна.В тот момент в голове Дэйва Уорделла пронеслись различные воспоминания об их удивительной дружбе и привязанности. Отношения полицейского и его питомца — это замечательный пример крепкой связи человека и собаки, продолжающейся с тех пор, как девятимесячного Финна забрали из приюта.За время своей службы Финн сталкивался со всеми возможными видами полицейских заданий: искал пропавших детей, задерживал вооруженных преступников, спасал людей. Но Финн не просто полицейская собака, он любимец всей семьи. Эта жизнеутверждающая книга посвящена именно ему."
Случайный ветеринар;Филипп Шотт;4.5;879 ₽;726 ₽;АСТ;2021;978-5-17-121030-4;https://cdn.img-gorod.ru/310x500/nomenclature/28/332/2833240.jpg;Филипп Шотт стал ветеринаром действительно случайно. Просто когда он просматривал список курсов канадского Университета Саскачевана, Ветеринарный оказался единственным, по отношению к которому он не смог придумать ни одного аргумента против. За свою тридцатилетнюю карьеру Шотт повидал невероятное количество самых разных случаев из жизни животных и их хозяев, случаев веселых и трогательных, лиричных и драматичных. В книге «Случайный ветеринар» он не только делится с читателями этими историями из собственной практики, но и рассказывает о том, как устроена работа ветеринарной клиники, вспоминает ключевые моменты из прошлого, беспрестанно шутит и дает целый ряд важных советов тем, у кого есть питомцы.
О всех созданиях - прекрасных и разумных;Джеймс Хэрриот;4.68;749 ₽;592 ₽;Азбука;2022;978-5-389-17846-5;https://cdn.img-gorod.ru/310x500/nomenclature/28/364/2836422.jpg;Смешные и трогательные рассказы о животных английского писателя и ветеринара Джеймса Хэрриота переведены на десятки языков. Его добродушный юмор,  меткая наблюдательность и блестящий дар рассказчика  вот уже несколько десятилетий завоевывают все новых читателей, не переставая удивлять, насколько истории из практики «коровьего лекаря» могут быть интересными. А насколько будни сельского ветеринара далеки от рутины, не приходится и говорить! Попробуйте, например, образумить рассвирепевшего бычка, или сдвинуть  с места заупрямившуюся свинью, или превратить в операционную стойло, не забывая при этом об острых зубах и копытах своих четвероногих пациентов. В настоящем издании представлена книга Хэрриота «О всех созданиях – прекрасных и разумных» (1974), в которой, как и в сборнике «О всех созданиях – больших и малых»,   автор вновь обращается к первым годам своей ветеринарной практики в Дарроуби, вымышленном городке среди йоркширских холмов, за которым проступают черты Тирска, где ныне находится всемирно известный музей Джеймса Хэрриота.
Пропала собака. История одной любви;Кейт Спайсер;3.86;679 ₽;101 ₽;Эксмо;2021;978-5-04-120229-3;https://cdn.img-gorod.ru/310x500/nomenclature/28/520/2852051.jpg;"Известной английской журналистке Кейт Спайсер уже за сорок. Она разрывается между дикими вечеринками и наркотиками. Отношения давно перешли в категорию ""терпимо"". Работа превратилась в неприятное жужжание после очередного запойного вечера. Так бы все и продолжалось, если бы не давняя мечта о собаке. Появление золотистого лерчера по кличке Вулфи заставляет Кейт сменить каблуки на кроссовки, а бессмысленные тусовки на тисканье любимого пса. Преображение идет полным ходом, пока лерчер не пропадает. Ради Вулфи она готова ночи на пролет прочесывать самые злачные места города. Эти поиски объединяют вокруг нее множество разных людей, вызывая огромный отклик в социальных сетях Лондона.   В забавной и трогательной манере Спайсер показывает, что изменить себя и свою жизнь можно в любом возрасте. Главное найти свой источник спасительной любви и поддержки. Например, золотистого лерчера."
Лесси возвращается домой;Эрик Найт;4.86;779 ₽;584 ₽;ЭНАС-КНИГА;2021;978-5-91921-710-7;https://cdn.img-gorod.ru/310x500/nomenclature/28/528/2852807.jpg;Эта потрясающая история о дружбе и верности уже 80 лет не оставляет равнодушными своих читателей. Породистая красавица колли по кличке Лесси – хрестоматийный пример преданности четвероногого друга своему хозяину. Она оказалась способна преодолеть тяжелейший путь в сотни километров и, претерпев множество тягот и опасностей, осталась верна Человеку.Книга была многократно экранизирована. Родителям современных детей знакома версия сериала 1970-х годов, покорившая телезрителей СССР.Для среднего школьного возраста.
О всех созданиях – больших и малых;Джеймс Хэрриот;4.34;289 ₽;223 ₽;Азбука;2021;978-5-389-19492-2;https://cdn.img-gorod.ru/310x500/nomenclature/28/537/2853775.jpg;С багажом свежих знаний и дипломом ветеринара молодой Джеймс Хэрриот пребывает в Дарроуби, небольшой городок, затерянный среди холмов Йоркшира. Нет, в учебниках ни слова не говорилось о реалиях английской глубинки, обычаях местных фермеров и подлинной работе ветеринарного врача, о которой так мечтал Хэрриот. Но в какие бы нелепые ситуации он ни попадал, с какими бы трудностями ни сталкивался, его всегда выручали истинно английское чувство юмора и бесконечная любовь к животным.  К своим приключениям в качестве начинающего ветеринара Альфред Уайт (подлинное имя Джеймса Хэрриота) вернулся спустя несколько десятилетий (он начал писать в возрасте 50 лет). Сборник его забавных и трогательных рассказов «О всех созданиях – больших и малых» вышел в 1972 году и имел огромный успех. За этой книгой последовали и другие. Сегодня имя Хэрриота известно во всем мире, его произведения пользуются популярностью у читателей разных поколений и переведены на десятки языков. На русском языке книга впервые была опубликована в 1985 году в сокращенном виде,  с пропуском отдельных фрагментов и глав. В настоящем издании представлен полный перевод с восстановленными купюрами.
Рыжий пес;Луи де Берньер;5;219 ₽;162 ₽;Махаон;2021;978-5-389-19633-9;https://cdn.img-gorod.ru/310x500/nomenclature/28/588/2858840.jpg;История Рыжего пса совершенно реальная, и произошла она несколько десятилетий назад в Австралии. Рыжий пёс – легенда Северо-Запада страны. Добродушный, умный, обаятельный, цвета тёмной меди с янтарно-жёлтыми глазами, он был всеобщим любимцем. Рыжий мог появиться в каком-нибудь посёлке и прожить среди людей несколько недель, а то и месяцев, а потом вдруг, остановив попутку (внезапно выскочив на дорогу перед знакомой машиной), оказывался за несколько десятков километров от прежнего места обитания. Но пёс никогда не привязывался к одному человеку, до тех пор пока не познакомился с Джоном, парнем из шахтёрского городка…
Мир Налы;Дин Николсон;4.37;679 ₽;531 ₽;Азбука;2021;978-5-389-19470-0;https://cdn.img-gorod.ru/310x500/nomenclature/28/592/2859290.jpg;Отправляясь из родной Шотландии в кругосветное путешествие на велосипеде, тридцатилетний Дин Николсон поставил перед собой цель как можно больше узнать о жизни людей на нашей планете. Но он не мог даже вообразить, что самые важные уроки получит от той, с кем однажды случайно встретится на обочине горной дороги. И вот уже за приключениями Николсона и его удивительной спутницы, юной кошки, которой он дал имя Нала, увлеченно следит гигантская аудитория. Видео их знакомства просмотрело сто тридцать шесть миллионов человек, а число подписчиков в «Инстаграме» превысило девятьсот пятьдесят тысяч — и продолжает расти! С изумлением Дин обнаружил, что Нала притягивает незнакомцев как магнит. И мир, прежде для него закрытый, мир, где он варился в собственном соку, внезапно распахнул перед ним все свои двери.Впервые на русском!
